Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.1463,0.022736,0.078618,0,0,0,2.2785,0.0038044,-0.00020619,0.00015099,0.0048644,1.9405E-05,0.0072065,0,0,0,0,0,0,package://Arm Assembly URDF.SLDASM/meshes/base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://Arm Assembly URDF.SLDASM/meshes/base_link.STL,,base_link^Arm Assembly-1,Coordinate System1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_1,0.024975,0.040357,-0.024788,0,0,0,0.64188,0.00054422,2.0857E-05,8.2925E-05,0.0006173,-2.0897E-05,0.00054768,0,0,0,0,0,0,package://Arm Assembly URDF.SLDASM/meshes/link_1.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://Arm Assembly URDF.SLDASM/meshes/link_1.STL,,link_1^Arm Assembly-1,Origin_joint_1,Base Axis,joint_1,revolute,0,0,0.16313,1.5708,0,-0.65112,base_link,0,1,0,28.35,5.24,-1.57,1.57,,,,,,,,
link_2,0.17391,0.023451,-0.048747,0,0,0,0.39467,0.00014684,4.9101E-07,4.3664E-08,0.0020162,3.7294E-07,0.0019717,0,0,0,0,0,0,package://Arm Assembly URDF.SLDASM/meshes/link_2.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://Arm Assembly URDF.SLDASM/meshes/link_2.STL,,link_2^Arm Assembly-1,Origin_joint_2,Joint 1 Axis,joint_2,revolute,0.048155,0.06735,0.012605,0.77684,0,1.5708,link_1,0,0,-1,28.35,5.24,-1.57,1.57,,,,,,,,
link_3,0.11503,0.025536,-0.029769,0,0,0,0.25926,6.9599E-05,1.1789E-08,2.6815E-08,0.0012488,-5.9275E-08,0.0012534,0,0,0,0,0,0,package://Arm Assembly URDF.SLDASM/meshes/link_3.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://Arm Assembly URDF.SLDASM/meshes/link_3.STL,,link_3^Arm Assembly-1,Origin_joint_3,Joint 2 Axis,joint_3,revolute,0.4318,0.0254,-0.016751,0,0,1.5708,link_2,0,0,-1,7.85,6.54,-1,3.14,,,,,,,,
link_4,0.0034368,0.048333,-0.025392,0,0,0,0.18732,0.00010535,-1.7725E-08,-5.6239E-07,0.00013344,-2.5978E-09,0.00013173,0,0,0,0,0,0,package://Arm Assembly URDF.SLDASM/meshes/link_4.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://Arm Assembly URDF.SLDASM/meshes/link_4.STL,,link_4^Arm Assembly-1,Origin_joint_4,Joint 3 Axis,joint_4,revolute,0.32499,-0.051798,-0.03028,3.1416,-1.5708,0,link_3,-1,0,0,2.45,8.08,-3.14,0,,,,,,,,
link_5,-2.3525E-09,0.0038409,4.4635E-09,0,0,0,0.0035244,2.3045E-07,5.3295E-13,5.8374E-12,3.9951E-07,4.126E-13,2.3046E-07,0,0,0,0,0,0,package://Arm Assembly URDF.SLDASM/meshes/link_5.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://Arm Assembly URDF.SLDASM/meshes/link_5.STL,,link_5^Arm Assembly-1,Origin_joint_5,EE Mount Axis,joint_5,revolute,0,-0.011425,-0.025654,-3.1416,-0.052114,-3.1416,link_4,0,1,0,2.45,8.08,-3.14,3.14,,,,,,,,
