Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
drivetrain_base_link,0.25893,-0.48948,0.13065,0,0,0,16.826,0.096739,1.888E-07,9.5052E-10,0.18186,-7.282E-08,0.17921,0,0,0,0,0,0,package://full_ugv_robot_urdf/meshes/drivetrain_base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://full_ugv_robot_urdf/meshes/drivetrain_base_link.STL,,Side Piece-1;Side Piece-2;Front Center Beam-1;Back Center Beam-1;Middle T-Slot Piece-1;Front Frame Piece-1;Back Frame Piece-1;Middle Front Bar-1;Middle Front Bar-2;End Cap-12;End Cap-11;End Cap-10;End Cap-9;End Cap-8;End Cap-7;End Cap-6;End Cap-5;End Cap-4;End Cap-3;End Cap-2;End Cap-1;Tslot Battery Holder Bars-1;Tslot Battery Holder Bars-2;Tslot Battery Holder Bars-3;Electronics Board Sides-1;Electronics Board Sides-2;Back Rail-2;Back Rail-3;Electronics Board Standoffs-1;Electronics Board Standoffs-2;Electronics Board Standoffs-3;Electronics Board Standoffs-4;New 12V battery-2;Gearbox2-1;Gearbox2-2;Colson hex wheel hub-2;Colson hex wheel hub-1;Tslot Battery Holder Bars-4;Wheel Assembly Back-2/Keyed shaft wheel hub-1;Side Wheel Assembly-3/Keyed shaft wheel hub-1;Side Wheel Assembly-1/Keyed Shaft Sides-1;Wheel Assembly Back-1/Keyed shaft wheel hub-1;Side Wheel Assembly-1/Keyed shaft wheel hub-1;Wheel Assembly Back-1/Keyed Shaft Back-1;Side Wheel Assembly-3/Keyed Shaft Sides-1;Wheel Assembly Back-2/Keyed Shaft Back-1,Coordinate System2,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_wheel,1.3885E-08,-4.7617E-10,-8.5337E-12,0,0,0,0.36704,0.00082344,4.2918E-12,1.5551E-13,0.0004503,2.6527E-10,0.0004503,0,0,0,0,0,0,package://full_ugv_robot_urdf/meshes/left_wheel.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://full_ugv_robot_urdf/meshes/left_wheel.STL,,5in Colson Wheel-2,Origin_left_wheel_joint,Axis1,left_wheel_joint,continuous,-0.026657,-0.33398,0.025404,0,0,0,drivetrain_base_link,1,0,0,15,30,,,,,,,,,,
right_wheel,1.3885E-08,4.107E-10,2.4111E-10,0,0,0,0.36704,0.00082344,-3.6631E-12,-2.2417E-12,0.0004503,9.6159E-10,0.0004503,0,0,0,0,0,0,package://full_ugv_robot_urdf/meshes/right_wheel.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://full_ugv_robot_urdf/meshes/right_wheel.STL,,5in Colson Wheel-1,Origin_right_wheel_joint,Axis1,right_wheel_joint,continuous,0.53466,-0.33397,0.025369,0,0,0,drivetrain_base_link,1,0,0,15,30,,,,,,,,,,
left_front_wheel,-1.38846338870735E-08,-1.22056642570811E-10,4.66495952977652E-10,0,0,0,0.367037154275229,0.000823444186063911,-9.9195770866913E-13,4.17846004288441E-12,0.000450302870219107,-2.66576517452119E-10,0.000450304796801175,0,0,0,0,0,0,package://full_ugv_robot_urdf/meshes/left_front_wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://full_ugv_robot_urdf/meshes/left_front_wheel.STL,,Side Wheel Assembly-1/5in Colson Wheel-1,Origin_left_front_wheel_joint,front_axis,left_front_wheel_joint,continuous,-0.017386,-0.10541,0.0254,0,0,0,drivetrain_base_link,-1,0,0,15,30,,,,,,,,,,
right_front_wheel,1.38846335540066E-08,1.84573023531698E-10,4.39020375608834E-10,0,0,0,0.367037154275226,0.000823444186063905,-1.59170261207575E-12,-3.98873364337992E-12,0.000450302988377704,5.33613932717208E-10,0.000450304678642573,0,0,0,0,0,0,package://full_ugv_robot_urdf/meshes/right_front_wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://full_ugv_robot_urdf/meshes/right_front_wheel.STL,,Side Wheel Assembly-3/5in Colson Wheel-1,Origin_right_front_wheel_joint,front_axis,right_front_wheel_joint,continuous,0.52539,-0.10541,0.0254,0,0,0,drivetrain_base_link,-1,0,0,15,30,,,,,,,,,,
left_back_wheel,-1.3885E-08,3.8422E-10,-2.8139E-10,0,0,0,0.36704,0.00082344,3.4178E-12,-2.6005E-12,0.0004503,-9.9678E-10,0.0004503,0,0,0,0,0,0,package://full_ugv_robot_urdf/meshes/left_back_wheel.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://full_ugv_robot_urdf/meshes/left_back_wheel.STL,,Wheel Assembly Back-1/5in Colson Wheel-1,Origin_left_back_wheel_joint,back_axis,left_back_wheel_joint,continuous,-0.017386,-0.56261,0.0254,0,0,0,drivetrain_base_link,-1,0,0,15,30,,,,,,,,,,
right_back_wheel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package://full_ugv_robot_urdf/meshes/right_back_wheel.STL,1,1,1,1,0,0,0,0,0,0,package://full_ugv_robot_urdf/meshes/right_back_wheel.STL,,Wheel Assembly Back-2/5in Colson Wheel-1,Origin_right_back_wheel_joint,back_axis,right_back_wheel_joint,continuous,0.52539,-0.56261,0.0254,0,0,0,drivetrain_base_link,-1,0,0,15,30,,,,,,,,,,
