Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.65806,0.15081,0.9972,0,0,0,18.295,0.18118,-0.00065454,4.734E-08,0.18349,-1.8277E-07,0.10003,0,0,0,0,0,0,package://drivetrain_urdf/meshes/base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://drivetrain_urdf/meshes/base_link.STL,,Side Piece-1;Side Piece-2;Front Center Beam-1;Back Center Beam-1;Middle T-Slot Piece-1;Front Frame Piece-1;Back Frame Piece-1;Middle Front Bar-1;Middle Front Bar-2;End Cap-12;End Cap-11;End Cap-10;End Cap-9;End Cap-8;End Cap-7;End Cap-6;End Cap-5;End Cap-4;End Cap-3;End Cap-2;End Cap-1;Tslot Battery Holder Bars-1;Tslot Battery Holder Bars-2;Tslot Battery Holder Bars-3;Electronics Board Sides-1;Electronics Board Sides-2;Back Rail-2;Back Rail-3;Electronics Board Standoffs-1;Electronics Board Standoffs-2;Electronics Board Standoffs-3;Electronics Board Standoffs-4;New 12V battery-2;Gearbox2-1;Gearbox2-2;Colson hex wheel hub-2;Colson hex wheel hub-1;Tslot Battery Holder Bars-4;Side Wheel Assembly-1/5in Colson Wheel-1;Side Wheel Assembly-3/5in Colson Wheel-1;Wheel Assembly Back-1/5in Colson Wheel-1;Wheel Assembly Back-2/5in Colson Wheel-1;Wheel Assembly Back-2/Keyed shaft wheel hub-1;Side Wheel Assembly-3/Keyed shaft wheel hub-1;Side Wheel Assembly-1/Keyed Shaft Sides-1;Wheel Assembly Back-1/Keyed shaft wheel hub-1;Side Wheel Assembly-1/Keyed shaft wheel hub-1;Wheel Assembly Back-1/Keyed Shaft Back-1;Side Wheel Assembly-3/Keyed Shaft Sides-1;Wheel Assembly Back-2/Keyed Shaft Back-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_wheel,-4.7595E-10,-1.6735E-11,1.3885E-08,0,0,0,0.36704,0.0004503,2.9831E-10,4.2885E-12,0.0004503,2.2942E-13,0.00082344,0,0,0,0,0,0,package://drivetrain_urdf/meshes/left_wheel.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://drivetrain_urdf/meshes/left_wheel.STL,,5in Colson Wheel-2,Origin_left_wheel_joint,Axis1,left_wheel_joint,continuous,0.52793,-1.2824,0.26434,1.5708,-1.2951,3.1416,base_link,0,0,0,,,,,,,,,,,,
right_wheel,-4.7595E-10,-1.6735E-11,1.3885E-08,0,0,0,0.36704,0.0004503,2.9831E-10,4.2885E-12,0.0004503,2.2942E-13,0.00082344,0,0,0,0,0,0,package://drivetrain_urdf/meshes/right_wheel.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://drivetrain_urdf/meshes/right_wheel.STL,,5in Colson Wheel-1,Origin_right_wheel_joint,Axis1,right_wheel_joint,continuous,0.52789,-0.72108,0.26435,1.5708,1.3335,-3.1416,base_link,0,0,0,,,,,,,,,,,,
